ID,A_R,LogRe,mue,logSigma,eLogSigma,velocity,Type
57,0.087,0.5530140275313308,19.74,2.194,0.032,10087,-2
58,0.076,0.586650105840102,19.41,2.339,0.02,9714,-2
59,0.082,0.7892755686317443,19.67,2.423,0.012,9728,-5
60,0.082,0.2331234115045706,18.82,2.18,0.015,9792,-3
61,0.086,0.5192240010011536,20.48,2.039,0.012,9440,-4
62,0.089,0.3947493759007971,19.83,1.947,0.018,9605,-2
63,0.212,0.5834282884781197,19.65,2.312,0.047,4180,-4
64,0.168,0.3164441174681171,18.84,2.341,0.047,3501,-2
65,0.168,0.3000107249903525,18.97,2.203,0.047,3146,-2
66,0.169,-0.1884459955089348,17.77,2.268,0.047,3383,-5
67,0.205,0.07989779937762759,19.89,2.025,0.023,2289,-5
68,0.204,0.39224418428718255,18.76,2.376,0.023,3981,-5
69,0.195,0.40137793346119577,20.84,1.927,0.028,3541,-2
70,0.206,0.8680678290541002,20.39,2.272,0.009,3563,-4
71,0.213,0.0895180021279372,19.32,2.122,0.024,3001,-2
72,0.214,0.2685778151926042,20.53,2.014,0.023,2827,-4
73,0.215,-0.03232727524074202,17.99,2.215,0.023,3431,-2
74,0.207,0.6415875201176477,20.77,2.056,0.023,4790,-2
75,0.208,-0.23164903336847495,18.59,2.087,0.04,3207,-5
76,0.209,0.8285503689995135,19.7,2.395,0.013,4086,-5
77,0.209,0.3582198209978431,19.43,2.086,0.023,4753,-2
78,0.209,1.6728393113748394,22.55,2.279,0.021,3860,-2
79,0.209,-0.3858670468440242,17.15,2.27,0.023,2697,-5
80,0.201,0.4359789556267315,18.9,2.265,0.028,4940,-2
81,0.2,0.1664441174681173,18.57,2.22,0.028,3501,-2
82,0.207,0.33370702991775325,19.74,2.035,0.028,4050,-2
83,0.182,0.09313078540470292,18.67,1.747,0.04,4374,-2
84,0.181,0.13037950295054304,20.22,1.945,0.028,3077,-2
85,0.184,0.6516321425530097,19.66,2.364,0.024,2947,-4
86,0.161,0.4746508528186485,19.44,2.238,0.047,3912,-2
87,0.149,0.48489130374589795,19.8,2.092,0.047,3738,-2
88,0.085,0.49321445648613155,19.37,2.287,0.018,11271,-2
89,0.085,0.3196966238344338,19.38,2.168,0.018,10579,-5
90,0.08,0.6935447405376591,19.82,2.394,0.021,11784,-2
91,0.08,0.9804954477295627,20.3,2.412,0.013,11541,-3
92,0.079,0.5956459439562796,19.39,2.461,0.032,11545,-5
93,0.077,0.43138357164407765,18.65,2.446,0.016,11834,-5
94,0.075,0.820344262545804,19.94,2.408,0.018,12277,-3
95,0.07,0.7481094026846182,20.63,2.121,0.032,12327,-2
96,0.068,1.0335472206351752,20.82,2.249,0.018,11948,-2
97,0.081,0.7047721075383108,19.54,2.406,0.032,11736,-4
98,0.047,0.24647226648605197,19.2,2.132,0.032,9273,-4
99,0.047,0.3386784807860863,18.59,2.392,0.026,9670,-3
0,0.047,1.2444361441014389,21.02,2.425,0.016,9576,-5
1,0.047,0.348637855692552,18.5,2.34,0.026,9449,-2
2,0.046,0.7089478786127675,20.75,2.047,0.032,9434,-5
3,0.044,0.40056670487969537,19.96,2.025,0.032,9802,-4
4,0.064,0.7633999424240793,19.56,2.422,0.026,10499,-5
5,0.056,0.5016398065934923,19.04,2.325,0.026,10602,-2
6,0.058,0.9562752612917882,20.55,2.307,0.02,10642,-5
7,0.065,0.511145319807465,19.12,2.397,0.026,10254,-5
8,0.058,0.6378896191566161,19.39,2.382,0.026,10319,-4
9,0.06,0.2161075706992973,18.87,2.117,0.032,10206,-4
10,0.06,0.5289043220581586,18.88,2.464,0.032,10131,-5
11,0.061,0.3627980187889113,19.54,2.16,0.032,10903,-2
12,0.062,0.752202872762483,19.91,2.252,0.023,10279,-5
13,0.063,0.4424261907095111,19.2,2.247,0.023,10190,-3
14,0.051,0.5663409429946621,19.45,2.245,0.02,10188,-5
15,0.052,0.8886097362483859,19.8,2.425,0.026,9492,-5
16,0.05,0.6583411797592272,19.34,2.387,0.026,9508,-5
17,0.041,0.18096871106646698,18.7,2.187,0.02,9478,-5
18,0.041,0.2817343131053473,19.06,2.227,0.032,9649,-5
19,0.047,0.8912396123640519,20.06,2.408,0.032,11117,-4
20,0.048,0.6793370363272065,19.67,2.409,0.02,9707,-5
21,0.057,0.5858316282722147,19.2,2.409,0.015,6318,-5
22,0.057,1.0578657368561604,20.38,2.483,0.013,6275,-5
23,0.057,0.5462727584750604,19.58,2.252,0.017,6339,-5
24,0.059,0.3280246386387537,18.92,2.355,0.026,6394,-3
25,0.062,0.37449670350345393,19.09,2.263,0.017,6490,-4
26,0.062,0.7692989718631924,19.6,2.404,0.016,6502,-5
27,0.068,0.6794492718096541,19.69,2.382,0.018,5410,-5
28,0.091,0.4791105271840775,19.0,2.19,0.026,7242,-3
29,0.335,0.8565913467091245,20.49,2.241,0.031,4585,-5
30,0.388,0.379526797913431,18.46,2.281,0.009,2638,-5
31,0.295,0.32350865874199436,20.2,2.175,0.029,2566,-5
32,0.293,0.5463904415144667,19.18,2.164,0.038,4520,-2
33,0.305,0.4391932120598712,19.06,2.387,0.014,3097,-2
34,0.31,0.6024333455424203,19.77,2.209,0.035,3566,-2
35,0.288,0.17545373077007964,18.98,2.122,0.026,3700,-5
36,0.295,-0.06989302576825243,19.45,1.893,0.026,3012,-5
37,0.299,1.501008456020297,21.61,2.399,0.017,2970,-5
38,0.296,-0.14154181259296095,19.07,1.911,0.026,3142,-5
39,0.278,0.42650678338779824,19.19,2.072,0.026,4288,-2
40,0.278,0.8431870893439743,20.77,1.982,0.026,4841,-2
41,0.3,0.13519044668339322,19.32,2.205,0.019,2089,-2
42,0.291,0.4063960518987417,19.45,2.028,0.026,3691,-2
43,0.311,0.16310675295540766,19.7,2.072,0.02,2182,-5
44,0.318,0.3983890319338778,18.63,2.325,0.014,3856,-2
45,0.312,1.0006834160636902,19.88,2.384,0.008,4682,-5
46,0.31,0.4145210034486174,19.27,2.042,0.02,4969,-5
47,0.325,0.030715903310074035,18.86,2.075,0.009,2968,-5
48,0.336,0.15077686910665278,19.96,1.837,0.018,4193,-5
49,0.301,0.12944449529566066,18.31,2.343,0.026,2513,-2
50,0.3,0.5827552755624001,19.58,2.134,0.014,5315,-2
51,0.299,0.08837615277347645,19.06,2.126,0.018,2394,-2
52,0.308,0.6340783092640893,20.92,1.797,0.025,4496,-2
53,0.321,0.08201053544180179,19.18,2.221,0.031,2459,-5
54,0.367,0.12207110177635876,18.82,2.12,0.025,3450,-2
55,0.331,0.6221284823412159,19.6,2.152,0.009,3341,-4
56,0.289,0.08373811579887015,19.92,1.884,0.025,2676,-2
57,0.344,0.4174882234663961,20.68,1.72,0.025,4745,-5
58,0.325,0.25802837549783275,19.43,2.095,0.025,3722,-2
59,0.329,0.16581368689832113,18.95,2.318,0.012,2092,-2
60,0.338,0.45326842684721663,19.42,2.107,0.021,3041,-2
61,0.347,0.31831222417621885,18.77,2.309,0.025,4678,-2
62,0.327,-0.026992371188291363,18.14,2.154,0.025,4839,-2
63,0.326,0.7175415543812591,18.98,2.374,0.012,4338,-5
64,0.281,0.6395180021279373,19.2,2.316,0.015,3001,-5
65,0.024,0.8984836016611935,20.39,2.359,0.019,6922,-5
66,0.023,0.3863499387655706,19.54,2.156,0.018,6282,-5
67,0.021,0.43270327673969744,19.75,2.248,0.024,6675,-5
68,0.026,0.3528539760413195,19.37,2.201,0.021,7122,-5
69,0.026,0.310979387349764,18.65,2.294,0.018,7477,-5
70,0.025,1.2713657865350618,21.26,2.43,0.013,7364,-4
71,0.029,0.8811439514628752,19.94,2.4,0.016,6806,-4
72,0.026,0.40879798075760726,19.0,2.371,0.024,6089,-4
73,0.03,0.5910041353537954,19.58,2.256,0.018,6277,-4
74,0.027,0.19717049190380032,18.7,2.166,0.018,7243,-5
75,0.03,0.10235598134421252,18.66,2.088,0.021,7330,-5
76,0.03,0.3087853320194889,19.03,2.235,0.021,6033,-4
77,0.026,0.5247105870891207,19.52,2.265,0.021,7169,-5
78,0.223,0.4535063194656344,19.37,2.23,0.013,5215,-2
79,0.028,0.8728413923725027,20.7,2.301,0.019,8406,-2
80,0.035,0.10729439348852109,18.74,2.174,0.021,5676,-5
81,0.028,-0.23810177384023545,17.77,2.234,0.016,5697,-4
82,0.028,0.252479718160013,19.71,2.001,0.024,8322,-4
83,0.033,0.5876737601608222,19.16,2.419,0.011,7951,-4
84,0.026,0.5033869727665184,19.67,2.195,0.029,7676,-4
85,0.032,0.19568489483522453,18.94,2.202,0.019,6389,-4
86,0.034,0.4112239190319347,19.12,2.306,0.015,7079,-4
87,0.027,0.5383715971276343,19.5,2.31,0.016,6841,-5
